instance_index,feasible,candidates,feasible_candidates,pgm_failed_batch_points,pgm_failed_candidates,native_pgm_wrong_branch_points,native_pgm_wrong_branch_candidates,fixed_pv_fallback_points,fixed_pv_fallback_candidates,final_failed_batch_points,final_failed_candidates,best_candidate_index,best_feasible_candidate_index,best_all_candidate_index,cost_available,feasible_cost,all_cost,best_cost,generation_seconds,pgm_batch_seconds,pgm_prepare_seconds,pgm_power_flow_seconds,pgm_extract_seconds,fixed_pv_newton_seconds,constraint_evaluation_seconds,total_seconds,batch_points,pv_iterations,max_batch_pv_voltage_error_pu,maximum_violation,max_pf_residual_mva,violation_pg,violation_qg,violation_voltage,violation_angle,violation_thermal,violation_ramp
104,1,20,20,3,1,0,0,3,1,0,0,11,11,11,1,1567004.2799371262,1567004.2799371262,1567004.2799371262,0.00888830004259944,2.8033907000208274,1.9434642000123858,0.3174924000049941,0.5423939999891445,1.8928687000297941,0.5991964999702759,3.4114755000337027,6020,5,2.1014412432407426e-11,7.197542006842639e-08,4.142812989911888e-11,0.0,0.0,1.9880232645282548e-08,0.0,0.0,7.197542006842639e-08
741,1,20,20,22,3,0,0,22,3,0,0,18,18,18,1,1686423.278658087,1686423.278658087,1686423.278658087,0.008872899983543903,2.875507299962919,1.9542046999558806,0.3529559000162408,0.5682612999808043,1.9017621999955736,0.6240718000335619,3.508451999980025,6020,5,2.8696933718208584e-11,1.9881355820909126e-08,4.1329369593263543e-11,0.0,0.0,1.9881355820909126e-08,0.0,0.0,0.0
409,1,20,20,25,4,0,0,25,4,0,0,1,1,1,1,1591835.276667212,1591835.276667212,1591835.276667212,0.009364400000777096,2.7974244000506587,1.9476147000095807,0.3141585999983363,0.5356357000418939,1.8962975000031292,0.5949734999448992,3.401762299996335,6020,5,3.0017877072907595e-11,1.99316859313588e-08,4.051725444410434e-11,0.0,0.0,1.99316859313588e-08,0.0,0.0,0.0
2909,1,20,19,29,4,3,2,32,4,0,0,10,10,10,1,1666108.1872661998,1666108.1872661998,1666108.1872661998,0.009129299956839532,2.8715350999846123,1.9546815999783576,0.3507956000394188,0.566043599974364,1.9027169999899343,0.6134637000504881,3.49412809999194,6020,5,2.273847776734783e-11,1.9900160223388715e-08,4.73404274774961e-11,0.0,0.0,1.9900160223388715e-08,0.0,0.0,0.0
2158,1,20,20,69,3,23,2,92,3,0,0,13,13,13,1,1588717.2676305952,1588717.2676305952,1588717.2676305952,0.008630600001197308,2.8601146999862976,1.9467077000299469,0.33743080002022907,0.5759538999991491,1.8950731999939308,0.6026163000497036,3.4713616000371985,6020,5,3.888600552670596e-11,1.9880472268418698e-08,4.148495647776018e-11,0.0,0.0,1.9880472268418698e-08,0.0,0.0,0.0
4543,1,20,19,40,1,0,0,40,1,0,0,14,14,10,1,1681807.95159714,1681807.95159714,1681807.95159714,0.008802399970591068,2.839618700032588,1.9534799000248313,0.3332284999778494,0.5528918000054546,1.899522199993953,0.597325999988243,3.445747099991422,6020,5,2.3939072946177475e-11,1.990636822046808e-08,4.143511306786015e-11,0.0,0.0,1.990636822046808e-08,0.0,0.0,0.0
1136,1,20,20,0,0,0,0,0,0,0,0,16,16,16,1,1389596.9846735052,1389596.9846735052,1389596.9846735052,0.011692200030665845,2.803743000025861,1.9585917000076734,0.28257189999567345,0.5625240000081249,1.904703599982895,0.6386111999745481,3.454046400031075,6020,5,1.1198486582486566e-11,1.9892451574854403e-08,4.14269139754037e-11,0.0,0.0,1.9892451574854403e-08,0.0,0.0,0.0
3710,1,20,20,26,3,2,2,28,3,0,0,0,0,0,1,1650695.367199255,1650695.367199255,1650695.367199255,0.008992599963676184,2.8183674999745563,1.9470832999795675,0.3155589000089094,0.5557032999931835,1.89538270002231,0.625940200057812,3.4533002999960445,6020,5,2.9046876015570433e-11,1.9873101312721038e-08,4.739761254115591e-11,0.0,0.0,1.9873101312721038e-08,0.0,0.0,0.0
2741,1,20,20,19,5,3,2,22,5,0,0,3,3,3,1,1590746.7000910002,1590746.7000910002,1590746.7000910002,0.011559100006707013,2.814833899959922,1.9488484999747016,0.3208390999934636,0.5451215999783017,1.8989959000027739,0.5813263000454754,3.407719300012104,6020,5,2.1132762206832467e-11,1.9948432720499417e-08,3.690195610268474e-11,0.0,0.0,1.9948432720499417e-08,0.0,0.0,0.0
2922,1,20,20,11,1,0,0,11,1,0,0,7,7,7,1,1576792.013880307,1576792.013880307,1576792.013880307,0.00912659999448806,2.7599923000088893,1.9527529000188224,0.28660729998955503,0.520617600006517,1.9052554999943823,0.5814409999875352,3.3505598999909125,6020,5,2.4626523043025372e-11,1.987398764076903e-08,4.137554024462169e-11,0.0,0.0,1.987398764076903e-08,0.0,0.0,0.0
263,1,20,20,3,1,0,0,3,1,0,0,2,2,2,1,1582712.9466187141,1582712.9466187141,1582712.9466187141,0.009621400036849082,2.846710899961181,1.960323499981314,0.31976189999841154,0.5666031999862753,1.9105098999571055,0.602363400044851,3.458695700042881,6020,5,2.7468360919158386e-11,1.9073486323684108e-07,4.68590874107369e-11,0.0,0.0,1.99039016749817e-08,0.0,0.0,1.9073486323684108e-07
193,1,20,20,2,1,0,0,2,1,0,0,9,9,9,1,1575401.0371652523,1575401.0371652523,1575401.0371652523,0.009729499986860901,2.7968924999586307,1.9499094999628142,0.30183180002495646,0.5451376999844797,1.9005347000202164,0.5829384000389837,3.3895603999844752,6020,5,2.172906299335864e-11,1.9886542412805836e-08,4.141814504441867e-11,0.0,0.0,1.9886542412805836e-08,0.0,0.0,0.0
4568,1,20,20,56,8,9,2,65,8,0,0,16,16,16,1,1653186.2605434002,1653186.2605434002,1653186.2605434002,0.012242999975569546,2.8660631999955513,1.9569926999974996,0.3537083999835886,0.555339400016237,1.9050481999875046,0.6049099999945611,3.483216199965682,6020,5,3.2995939314162115e-11,1.990320778559131e-08,4.6770587391073254e-11,0.0,0.0,1.990320778559131e-08,0.0,0.0,0.0
